@RELATION gaze_labels

%@METADATA width_px 656
%@METADATA height_px 288
%@METADATA width_mm 475.00
%@METADATA height_mm 208.00
%@METADATA distance_mm 600.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN,FIX,SACCADE,SP,NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN,FIX,SACCADE,SP,NOISE}

@DATA
942,308.08,167.72,1.00,FIX,FIX
2943,308.08,166.43,1.00,FIX,FIX
4936,308.24,165.65,1.00,FIX,FIX
6944,308.20,165.54,1.00,FIX,FIX
8938,308.62,165.02,1.00,FIX,FIX
10938,308.91,164.70,1.00,FIX,FIX
12941,308.58,164.31,1.00,FIX,FIX
14942,308.57,164.87,1.00,FIX,FIX
16944,308.18,164.58,1.00,FIX,FIX
18942,307.92,164.63,1.00,FIX,FIX
20942,308.16,164.25,1.00,FIX,FIX
22949,308.35,164.28,1.00,FIX,FIX
24944,308.48,164.87,1.00,FIX,FIX
26947,308.28,165.35,1.00,FIX,FIX
28943,308.03,164.63,1.00,FIX,FIX
30947,307.92,163.80,1.00,FIX,FIX
33132,307.63,163.77,1.00,FIX,FIX
34962,308.06,163.28,1.00,FIX,FIX
36949,308.03,162.90,1.00,FIX,FIX
38947,308.40,162.63,1.00,FIX,FIX
40947,308.65,162.54,1.00,FIX,FIX
42950,308.44,162.54,1.00,FIX,FIX
44952,308.47,162.65,1.00,FIX,FIX
46956,308.31,162.94,1.00,FIX,FIX
48953,308.48,163.09,1.00,FIX,FIX
50953,308.65,163.28,1.00,FIX,FIX
52958,308.45,163.58,1.00,FIX,FIX
54958,308.22,162.06,1.00,FIX,FIX
56955,308.50,162.20,1.00,FIX,FIX
58954,308.92,161.76,1.00,FIX,FIX
60958,308.45,162.44,1.00,FIX,FIX
62961,308.46,163.84,1.00,FIX,FIX
64960,308.04,163.19,1.00,FIX,FIX
66960,307.60,163.29,1.00,FIX,FIX
68961,307.51,163.42,1.00,FIX,FIX
70960,307.63,163.61,1.00,FIX,FIX
72956,307.87,164.57,1.00,FIX,FIX
74963,306.68,164.27,1.00,FIX,FIX
76966,307.11,165.32,1.00,FIX,FIX
78969,306.99,164.43,1.00,FIX,FIX
80960,306.60,165.03,1.00,FIX,FIX
82967,307.14,164.41,1.00,FIX,FIX
84967,307.10,164.25,1.00,FIX,FIX
86966,307.23,163.83,1.00,FIX,FIX
88965,307.49,163.40,1.00,FIX,FIX
90969,307.59,163.39,1.00,FIX,FIX
92973,307.45,163.96,1.00,FIX,FIX
94973,307.93,164.57,1.00,FIX,FIX
96972,307.28,164.86,1.00,FIX,FIX
98972,306.76,164.67,1.00,FIX,FIX
100971,306.57,163.99,1.00,FIX,FIX
102973,306.44,164.26,1.00,FIX,FIX
104972,306.81,163.63,1.00,FIX,FIX
106973,307.22,163.35,1.00,FIX,FIX
108974,307.98,163.54,1.00,FIX,FIX
110972,308.11,164.02,1.00,FIX,FIX
112984,307.72,163.80,1.00,FIX,FIX
114977,307.83,162.46,1.00,FIX,FIX
116988,307.76,163.10,1.00,FIX,FIX
118980,307.76,163.59,1.00,FIX,FIX
120984,308.39,163.94,1.00,FIX,FIX
122982,308.09,163.94,1.00,FIX,FIX
124983,308.17,164.39,1.00,FIX,FIX
126984,308.60,163.34,1.00,FIX,FIX
128985,307.45,163.70,1.00,FIX,FIX
130982,307.31,163.53,1.00,FIX,FIX
132989,308.02,162.76,1.00,FIX,FIX
134986,308.12,163.19,1.00,FIX,FIX
136985,308.58,162.77,1.00,FIX,FIX
138987,308.73,163.19,1.00,FIX,FIX
140985,308.64,163.62,1.00,FIX,FIX
142987,307.64,163.91,1.00,FIX,FIX
144987,306.08,164.88,1.00,SP,FIX
146991,307.08,164.96,1.00,SP,FIX
148990,307.44,165.37,1.00,SP,FIX
150993,306.34,165.77,1.00,SP,FIX
152999,307.83,165.88,1.00,SP,FIX
154990,308.76,165.48,1.00,SP,FIX
157008,308.44,165.63,1.00,SP,FIX
158994,308.30,166.06,1.00,SP,FIX
160990,308.33,166.07,1.00,SP,FIX
162992,308.26,166.09,1.00,SP,FIX
164994,308.20,166.17,1.00,SP,FIX
166995,308.56,166.43,1.00,SP,FIX
168993,308.55,166.21,1.00,SP,FIX
170994,308.86,166.26,1.00,SP,FIX
173000,308.94,165.20,1.00,SP,FIX
174999,309.05,165.03,1.00,SP,FIX
177001,309.14,165.59,1.00,SP,FIX
179001,309.12,165.02,1.00,SP,FIX
180999,308.86,165.66,1.00,SP,FIX
183003,309.40,165.06,1.00,SP,FIX
184998,309.40,164.01,1.00,SP,FIX
187007,308.63,163.75,1.00,SP,FIX
189004,308.30,163.50,1.00,SP,FIX
191003,308.21,163.52,1.00,SP,FIX
193008,308.40,163.10,1.00,SP,FIX
195011,308.38,163.76,1.00,SP,FIX
197005,308.80,163.92,1.00,SP,FIX
199006,309.37,163.40,1.00,SP,FIX
201014,309.08,163.66,1.00,SP,FIX
