@RELATION gaze_labels

%@METADATA width_px 528
%@METADATA height_px 224
%@METADATA width_mm 475.00
%@METADATA height_mm 201.00
%@METADATA distance_mm 600.00


@ATTRIBUTE time INTEGER
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE confidence NUMERIC
@ATTRIBUTE handlabeller_1 {UNKNOWN,FIX,SACCADE,SP,NOISE}
@ATTRIBUTE handlabeller_final {UNKNOWN,FIX,SACCADE,SP,NOISE}

@DATA
691,267.32,95.24,1.00,SACCADE,SACCADE
2668,267.45,95.63,1.00,SACCADE,SACCADE
4676,267.50,95.83,1.00,SP,SP
6671,267.42,95.68,1.00,FIX,FIX
8688,267.52,96.39,1.00,FIX,FIX
10677,267.76,96.22,1.00,FIX,FIX
12675,267.69,96.33,1.00,FIX,FIX
14677,267.42,96.56,1.00,FIX,FIX
16677,267.58,95.98,1.00,FIX,FIX
18680,267.67,96.02,1.00,FIX,FIX
20682,267.40,95.68,1.00,FIX,FIX
22680,267.42,95.87,1.00,FIX,FIX
24678,267.11,96.40,1.00,FIX,FIX
26679,266.96,97.15,1.00,FIX,FIX
28681,266.85,96.96,1.00,FIX,FIX
30683,266.52,96.84,1.00,FIX,FIX
32686,266.85,96.51,1.00,FIX,FIX
34681,266.74,96.44,1.00,FIX,FIX
36685,266.88,96.96,1.00,FIX,FIX
38702,266.97,97.07,1.00,FIX,FIX
40691,267.00,97.16,1.00,FIX,FIX
42689,267.13,97.06,1.00,FIX,FIX
44688,267.27,96.97,1.00,FIX,FIX
46688,267.28,96.69,1.00,FIX,FIX
48691,266.87,96.50,1.00,FIX,FIX
50691,266.90,97.02,1.00,FIX,FIX
52692,266.65,97.23,1.00,FIX,FIX
54694,266.70,97.01,1.00,FIX,FIX
56691,266.92,96.76,1.00,FIX,FIX
58695,266.75,96.33,1.00,FIX,FIX
60701,266.50,96.45,1.00,FIX,FIX
62721,266.36,96.85,1.00,FIX,FIX
64697,266.55,97.15,1.00,FIX,FIX
66692,266.40,97.15,1.00,FIX,FIX
68701,266.61,97.22,1.00,FIX,FIX
70701,266.55,97.15,1.00,FIX,FIX
72703,266.24,97.20,1.00,FIX,FIX
74698,266.41,97.23,1.00,FIX,FIX
76696,266.68,97.32,1.00,FIX,FIX
78703,266.34,97.54,1.00,FIX,FIX
80707,266.54,97.37,1.00,FIX,FIX
82701,266.34,96.96,1.00,FIX,FIX
84701,266.14,96.88,1.00,FIX,FIX
86700,266.37,97.01,1.00,FIX,FIX
88707,266.37,96.58,1.00,FIX,FIX
90707,266.00,97.44,1.00,FIX,FIX
92707,266.12,97.08,1.00,FIX,FIX
94704,266.39,96.88,1.00,FIX,FIX
96705,266.62,96.78,1.00,FIX,FIX
98708,266.67,96.75,1.00,FIX,FIX
100710,266.60,97.06,1.00,FIX,FIX
102708,266.20,96.90,1.00,FIX,FIX
104712,266.45,96.39,1.00,FIX,FIX
106708,266.27,95.92,1.00,FIX,FIX
108712,266.10,96.26,1.00,FIX,FIX
110714,266.25,96.51,1.00,FIX,FIX
112713,266.56,96.68,1.00,FIX,FIX
114716,266.45,97.23,1.00,FIX,FIX
116711,266.29,96.91,1.00,FIX,FIX
118718,266.15,96.25,1.00,FIX,FIX
120730,266.03,96.45,1.00,FIX,FIX
122717,265.91,96.19,1.00,FIX,FIX
124717,265.87,96.65,1.00,FIX,FIX
126715,265.84,96.57,1.00,FIX,FIX
128720,266.33,96.19,1.00,FIX,FIX
130719,266.47,95.74,1.00,FIX,FIX
132722,266.29,95.73,1.00,FIX,FIX
134721,266.45,95.60,1.00,FIX,FIX
136718,266.26,95.75,1.00,FIX,FIX
138727,266.45,95.85,1.00,FIX,FIX
140726,266.88,95.46,1.00,FIX,FIX
142729,267.00,96.05,1.00,FIX,FIX
144722,267.40,95.77,1.00,FIX,FIX
146724,267.11,95.74,1.00,FIX,FIX
148739,266.90,96.07,1.00,FIX,FIX
150726,266.86,96.37,1.00,FIX,FIX
152727,266.93,96.43,1.00,FIX,FIX
154728,267.51,96.69,1.00,FIX,FIX
156727,267.45,96.63,1.00,FIX,FIX
158734,267.82,96.39,1.00,FIX,FIX
160733,268.00,96.07,1.00,FIX,FIX
162736,268.00,96.03,1.00,FIX,FIX
164731,267.75,96.12,1.00,FIX,FIX
166731,267.74,96.39,1.00,FIX,FIX
168733,267.82,96.46,1.00,FIX,FIX
170736,267.72,96.01,1.00,FIX,FIX
172735,267.79,96.03,1.00,FIX,FIX
174735,268.35,96.90,1.00,FIX,FIX
176736,268.52,96.50,1.00,FIX,FIX
178740,268.28,96.72,1.00,FIX,FIX
180740,268.51,96.20,1.00,FIX,FIX
182739,268.57,95.93,1.00,FIX,FIX
184738,268.57,95.93,1.00,FIX,FIX
186745,268.80,95.72,1.00,FIX,FIX
188744,268.53,96.16,1.00,FIX,FIX
190741,268.33,95.95,1.00,FIX,FIX
192741,268.29,96.36,1.00,FIX,FIX
194742,268.03,96.75,1.00,FIX,FIX
196743,268.24,96.94,1.00,FIX,FIX
198750,268.29,97.10,1.00,FIX,FIX
200744,268.17,95.95,1.00,FIX,FIX
202759,268.07,95.94,1.00,FIX,FIX
204749,268.51,95.48,1.00,FIX,FIX
206744,268.43,94.92,1.00,FIX,FIX
208748,268.17,94.83,1.00,FIX,FIX
210748,268.84,95.14,1.00,FIX,FIX
212751,268.44,95.42,1.00,FIX,FIX
214749,268.73,94.95,1.00,FIX,FIX
216748,268.71,95.20,1.00,FIX,FIX
218753,267.98,95.71,1.00,FIX,FIX
220752,267.83,95.39,1.00,FIX,FIX
222750,267.84,95.43,1.00,FIX,FIX
224758,267.92,94.94,1.00,FIX,FIX
226750,267.82,95.00,1.00,FIX,FIX
228755,267.92,95.53,1.00,FIX,FIX
230756,267.43,95.27,1.00,FIX,FIX
232756,267.49,95.04,1.00,FIX,FIX
234754,267.66,95.09,1.00,FIX,FIX
236756,267.51,94.44,1.00,FIX,FIX
238760,267.49,94.14,1.00,FIX,FIX
240758,267.76,94.22,1.00,FIX,FIX
242758,268.08,94.57,1.00,FIX,FIX
244765,267.96,94.34,1.00,FIX,FIX
246762,267.89,94.88,1.00,FIX,FIX
